"user_id","friend_user_id"
"us68976","us67237"
"us69704","us13682"
"us69704","us32498"
"us70520","us58311"
"us70683","us31907"
"us70683","us48344"
"us69704","us38246"
"us68880","us66894"
"us71164","us71134"
"us69789","us58311"
"us71091","us45183"
"us70315","us55762"
"us47656","us32847"
"us54656","us81966"
"us72360","us72390"
"us72360","us72423"
"us72360","us72417"
"us72360","us71983"
"us72360","us72552"
"us72360","us69592"
"us64684","us73246"
"us70734","us73216"
"us70734","us74904"
"us70734","us72417"
"us70734","us58311"
"us75179","us58311"
"us76238","us58311"
"us76238","us76099"
"us79482","us58311"
"us81386","us51903"
"us68822","us58311"
"us64450","us60202"
"us68822","us40296"
"us81963","us81939"
"us81963","us69592"
"us81963","us81941"
"us81963","us53281"
"us81963","us70585"
"us81245","us82203"
"us81245","us72563"
"us81963","us71983"
"us81681","us81724"
"us81245","us82507"
"us81245","us82410"
"us81245","us48659"
"us81963","us82970"
"us82668","us81939"
"us82668","us58311"
"us81963","us28732"
"us81245","us81724"
"us82668","us32498"
"us82668","us82743"
"us81963","us45183"
"us100236","us20648"
"us100236","us100269"
"us100236","us98530"
"us100236","us98234"
"us100236","us96900"
"us100236","us99835"
"us100290","us56363"
"us100290","us100254"
"us100519","us60202"
"us100344","us59781"
"us100344","us97714"
"us100344","us91187"
"us101051","us92955"
"us101051","us48659"
"us101051","us95581"
"us101051","us91187"
"us101256","us101255"
"us100236","us99887"
"us101295","us73216"
"us101051","us58311"
"us101051","us53281"
"us101051","us92973"
"us101051","us100254"
"us101295","us58311"
